Type,Law/Practice,Number,Element name,UNIT,SOURCE,Question,Question label,ZERO (A),ONE (B),TWO (C),THREE (D),FOUR (E),FIVE (F),SIX (G),POLARITY,SCORING_SYSTEM,SCORE_PARAM_A,SCORE_PARAM_B,SCORE_PARAM_C,SCORE_PARAM_D,SCORE_PARAM_E,SCORE_PARAM_F,SCORE_PARAM_G,DATA_TYPE,DP,VALID_MIN,VALID_MAX,PRE_ROUND,INTERNAL NOTES,Component,Sub-component,Indicator
QUESTION,Practice,68,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, have EIAs and/or SIAs been publicly disclosed?",EIA/SIA disclosure practice,"Yes, both EIAs and SIAs have been publicly disclosed, with no known exceptions.","Yes, either EIAs or SIAs have been publicly disclosed, with no known exceptions. ","No, at least one known EIA or SIA has not been publicly disclosed from 215, but has prior to 215.","No, neither EIAs nor SIAs have been publicly disclosed.",Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,1,3,20
INDICATOR,,21,Environmental mitigation plan rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,69,,Qualitative rating A-F where A=best,NRGI research,Are extractive companies required to prepare environmental mitigation management plans prior to development?,Environmental mitigation plan requirement,"Yes, the law requires extractive companies to prepare environmental mitigation management plans prior to project development.","Yes, a publicly documented policy requires extractive companies to prepare environmental mitigation management plans prior to project development.","No, extractive companies are not required to prepare environmental mitigation management plans prior to development.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,3,21
QUESTION,Law,70,,Qualitative rating A-F where A=best,NRGI research,Is there a requirement for environmental mitigation management plans to be publicly disclosed?,Environmental mitigation plan disclosure requirement,"Yes, the law requires environmental mitigation management plans to be publicly disclosed.","Yes, a publicly documented policy requires environmental mitigation management plans to be publicly disclosed.","No, there is no requirement for environmental mitigation management plans to be publicly disclosed.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,3,21
INDICATOR,,22,Environmental mitigation plan disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,71,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, have environmental mitigation management plans been publicly disclosed?",Environmental mitigation plan disclosure practice,"Yes, environmental mitigation management plans have been publicly disclosed, with no known exceptions.","No, at least one known environmental mitigation management plans has not been publicly disclosed from 215, but they have prior to 215.","No, at least one known environmental mitigation management plan has not been publicly disclosed.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,3,22
INDICATOR,,23,Environmental compliance rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,72,,Qualitative rating A-F where A=best,NRGI research,"Do rules require the government to set penalties (i.e. fines, license suspension or license revocation) for non-compliance with environmental mitigation management plans?",Environmental penalty requirement,"Yes, the law sets penalties for non-compliance with environmental mitigation management plans.","Yes, a publicly documented policy sets penalties for non-compliance with environmental mitigation management plans.","No, there are no penalties for non-compliance with environmental mitigation management plans.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,3,23
QUESTION,Law,77,,Qualitative rating A-F where A=best,NRGI research,Are there rules governing rehabilitation and closure of extractive projects?,Project closure requirement,"Yes, the law specifies procedures governing rehabilitation and closure of extractive projects.","Yes, a publicly documented policy specifies procedures governing rehabilitation and closure of extractive projects.","No, there are no procedures governing rehabilitation and closure of extractive projects.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,3,23
INDICATOR,,24,Environmental compliance practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,78,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, have the procedures governing rehabilitation and closure of extractive projects been adhered to?",Project closure compliance,"Yes, these procedures governing rehabilitation and closure of extractive projects have been adhered to, with no known exceptions.","No, these procedures governing rehabilitation and closure of extractive projects have not been adhered to from 215, but have been adhered to prior to 215.","No, these procedures governing rehabilitation and closure of extractive projects have not been adhered to, in one or more cases.","No, there are no procedures governing rehabilitation and closure of extractive projects.",Not applicable/Other.,,,High=good,multiple choice,100,20,0,0,.,.,.,,,,,,,1,3,24
INDICATOR,,25,Compensation to land users and owners rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,73,,Qualitative rating A-F where A=best,NRGI research,Are there rules governing compensation to landowners or land users when project development interferes with their access to or use of land?,Compensation requirement,"Yes, the law specifies procedures governing compensation to landowners or land users when development interferes with their access to or use of land.","Yes, a publicly documented policy specifies procedures governing compensation to landowners or land users when development interferes with their access to or use of land.","No, there are no procedures governing compensation to landowners or land users when development interferes with their access to or use of land.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,3,25
QUESTION,Law,75,,Qualitative rating A-F where A=best,NRGI research,Are there specific procedures governing the resettlement of land users when project development interferes with their access to or use of land?,Resettlement requirement,"Yes, the law specifies procedures governing the resettlement of land users when project development interferes with their access to or use of land.","Yes, a publicly documented policy specifies procedures governing the resettlement of land users when project development interferes with their access to or use of land.","No, there are no procedures governing the resettlement of land users when project development interferes with their access to or use of land.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,3,25
SUB-COMPONENT,,4,State-owned enterprises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDICATOR,,26,SOE-government transfers rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,82,,Qualitative rating A-F where A=best,NRGI research,Are there rules governing fiscal transfers between the government and the SOE?,SOE-government transfers governance rule,"Yes, the law specifies the rules governing fiscal transfers between the government and the SOE.","Yes, a publicly documented policy specifies the rules governing fiscal transfers between the government and the SOE.","No, there are no rules governing fiscal transfers between the government and the SOE.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,4,26
INDICATOR,,27,SOE-government transfers disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,84,,Qualitative rating A-F where A=best,NRGI research,Does the government publicly disclose how much revenue it receives from the SOE?,Government-SOE receipt disclosure,"Yes, the most recent publicly available data covers a fiscal year ending in 2015 or 2016.","Yes, the most recent publicly available data covers a fiscal year ending in 2012, 2013 or 2014.","Yes, the most recent publicly available data covers a fiscal year ending in 2011 or earlier.","No, the government does not publicly disclose how much revenue it receives from the SOE.",Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,1,4,27
QUESTION,Practice,85,,Qualitative rating A-F where A=best,NRGI research,Does the SOE publicly disclose how much revenue it transfers to the government?,SOE-government transfer disclosure,"Yes, the most recent publicly available data covers a fiscal year ending in 2015 or 2016.","Yes, the most recent publicly available data covers a fiscal year ending in 2012, 2013 or 2014.","Yes, the most recent publicly available data covers a fiscal year ending in 2011 or earlier.","No, the SOE does not publicly disclose this data.",Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,1,4,27
INDICATOR,,28,SOE financial reporting rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,86,,Qualitative rating A-F where A=best,NRGI research,Is the SOE required to publicly disclose annual reports containing information on its finances and operations?,SOE annual report disclosure requirement,"Yes, the law requires the SOE to publicly disclose annual reports on its finances and operations.","Yes, a publicly documented policy requires the SOE to publicly disclose annual reports on its finances and operations.","No, the SOE is not required to publicly disclose annual reports on its finances and operations.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,4,28
QUESTION,Law,98,,Qualitative rating A-F where A=best,NRGI research,Do rules require a periodic audit of the SOE's financial statements by an external body?,SOE financial audit requirement,"Yes, the law requires the SOE's annual financial statements to be periodically audited by an external body.","Yes, a publicly documented policy requires the SOE's annual financial statements to be periodically audited by an external body.","No, there are no rules requiring the SOE's annual financial statements to be periodically audited by an external body.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,4,28
QUESTION,Law,116,,Qualitative rating A-F where A=best,NRGI research,"Is the SOE required to submit annual reports to the legislature on its commercial, non-commercial (i.e. regulatory) and non-operational activities (i.e. activities not related to resource extraction)?",SOE report legislative review requirement,"Yes, the law requires the SOE to submit annual reports on all its activities to the legislature.","Yes, a publicly documented policy requires the SOE to submit annual reports on all its activities to the legislature.","No, the SOE is not required to submit annual reports to the legislature on its activities.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,4,28
INDICATOR,,29,SOE non-operational activity practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,100,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, did the SOE engage in non-operational activities (e.g. payments for social services, public infrastructure, fuel subsidies, national debt servicing)?",SOE non-operational activity,"No, the SOE did not engage in any non-operational activities.","Yes, the SOE engaged in non-operational activities prior to 215.","Yes, the SOE engaged in non-operational activities.",Not applicable/Other.,,,,High=good,multiple choice,100,20,0,.,.,.,.,,,,,,,1,4,29
QUESTION,Practice,101,,Qualitative rating A-F where A=best,NRGI research,Has the SOE publicly disclosed the amount spent on non-operational activities?,SOE non-operational spending,"Yes, the SOE publicly disclosed the amount spent on each non-operational activity.","Yes, the SOE publicly disclosed the aggregate amount spent on non-operational activities.","No, the SOE did not publicly disclose the amount spent on non-operational activities.",The SOE has not engaged in non-operational activities from 215 onwards.,Not applicable/Other.,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,4,29
INDICATOR,,30,SOE financial reporting practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,99,,Qualitative rating A-F where A=best,NRGI research,Did an external body audit the SOE's annual financial statements over the most recently completed audit timeframe?,SOE audit timeframe,"Yes, the SOE's annual financial statements were audited over the most recently completed audit timeframe, with no known exceptions.","No, the SOE's annual financial statements were not audited over the most recently completed audit timeframe.",The SOE's annual financial statements are not subject to audits.,Not applicable/Other.,,,,High=good,multiple choice,100,0,0,.,.,.,.,,,,,,,1,4,30
QUESTION,Practice,87,,Qualitative rating A-F where A=best,NRGI research,Has the SOE publicly disclosed annual reports on its finances and operations?,SOE annual report disclosure,"Yes, the SOE's most recent publicly available annual report on its finances and operations covers a fiscal year ending in 2015 or 2016.","Yes, but the SOE's most recent publicly available annual report on its finances and operations covers a fiscal year ending in 2012, 2013 or 2014.","Yes, but the SOE's most recent publicly available annual report on its finances and operations covers a fiscal year ending in 2011 or earlier.","No, the SOE does not publicly disclose reports on its finances and operations.",Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,1,4,30
QUESTION,Practice,88,,Qualitative rating A-F where A=best,NRGI research,Does the SOE's most recent public annual report include a balance sheet statement?,SOE balance sheet disclosure,"Yes, the SOE's most recent publicly available annual report includes a balance sheet statement for the fiscal year covered by the report.","Yes, the SOE's most recent publicly available annual report includes a balance sheet statement for the fiscal year prior to that covered by the report.","Yes, the SOE's most recent publicly available annual report includes a balance sheet statement for a fiscal year more than one year prior to that covered by the report.","No, the SOE's most recent publicly available annual report does not include a balance sheet statement.",The SOE does not publicly disclose annual reports.,Not applicable/Other.,,High=good,multiple choice,100,80,50,0,0,.,.,,,,,,,1,4,30
QUESTION,Practice,89,,Qualitative rating A-F where A=best,NRGI research,Does the SOE's most recent public annual report include a cash flow statement?,SOE cash flow statement disclosure,"Yes, the SOE's most recent publicly available annual report includes a cash flow statement for the fiscal year covered by the report.","Yes, the SOE's most recent publicly available annual report includes a cash flow statement for the fiscal year prior to that covered by the report.","Yes, the SOE's most recent publicly available annual report includes a cash flow statement for a fiscal year more than one year prior to that covered by the report.","No, the SOE's most recent publicly available annual report does not include a cash flow statement.",The SOE does not publicly disclose annual reports.,Not applicable/Other.,,High=good,multiple choice,100,80,50,0,0,.,.,,,,,,,1,4,30
QUESTION,Practice,90,,Qualitative rating A-F where A=best,NRGI research,Does the SOE's most recent public annual report include an income statement?,SOE income statement disclosure,"Yes, the SOE's most recent publicly available annual report includes an income statement for the fiscal year covered by the report.","Yes, the SOE's most recent publicly available annual report includes an income statement for the fiscal year prior to that covered by the report.","Yes, the SOE's most recent publicly available annual report includes an income statement for a fiscal year more than one year prior to that covered by the report.","No, the SOE's most recent publicly available annual report does not include an income statement.",The SOE does not publicly disclose annual reports.,Not applicable/Other.,,High=good,multiple choice,100,80,50,0,0,.,.,,,,,,,1,4,30
INDICATOR,,31,SOE production disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,96,,Qualitative rating A-F where A=best,NRGI research,Does the SOE publicly disclose its aggregate production volume?,SOE production volume disclosure,"Yes, the SOE publicly discloses its aggregate production volume, covering a fiscal year ending in 2015 or 2016.","Yes, the SOE publicly discloses its aggregate production volume, covering a fiscal year ending in 2012, 2013 or 2014.","Yes, the SOE publicly discloses its aggregate production volume, covering a fiscal year ending in 2011 or earlier.","No, the SOE does not publicly disclose its aggregate production volume.",Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,1,4,31
QUESTION,Practice,97,,Qualitative rating A-F where A=best,NRGI research,Does the SOE publicly disclose its aggregate sales volume?,SOE sales volume disclosure,"Yes, the SOE publicly discloses its aggregate sales volume, covering a fiscal year ending in 2015 or 2016.","Yes, the SOE publicly discloses its aggregate sales volume, covering a fiscal year ending in 2012, 2013 or 2014.","Yes, the SOE publicly discloses its aggregate sales volume, covering a fiscal year ending in 2011 or earlier.","No, the SOE does not publicly disclose its aggregate sales volume.",Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,1,4,31
INDICATOR,,32,Commodity sale rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,105,,Qualitative rating A-F where A=best,NRGI research,Are there rules that govern how the SOE should select the buyers of its production?,SOE production buyer selection rule,"Yes, there are rules that govern how the SOE should select the buyers of its share of production."," No, there are no rules that govern how the SOE should select the buyers of its share of production.",No procedures exist for the SOE to follow when selling its share of production.,Not applicable/Other.,,,,High=good,multiple choice,100,0,0,.,.,.,.,,,,,,,1,4,32
QUESTION,Law,106,,Qualitative rating A-F where A=best,NRGI research,Are there rules that determine the prices at which the SOE should sell its production?,SOE production sale price rule," Yes, there are rules that determine the prices at which the SOE should sell its production.","No, there are no rules that determine the prices at which the SOE should sell its production.",No procedures exist for the SOE to follow when selling its share of production.,Not applicable/Other.,,,,High=good,multiple choice,100,0,0,.,.,.,.,,,,,,,1,4,32
QUESTION,Law,107,,Qualitative rating A-F where A=best,NRGI research,Are there rules that govern how the proceeds from the sale of the SOE's production should be transferred to the government?,SOE sales proceed transfer rule,"Yes, there are rules that govern how the proceeds from the sale of the SOE's production should be transferred to the government.","No, there are no rules that govern how the proceeds from the sale of the SOE's production should be transferred to the government.",No procedures exist for the SOE to follow when selling its share of production.,Not applicable/Other.,,,,High=good,multiple choice,100,0,0,.,.,.,.,,,,,,,1,4,32
QUESTION,Law,109,,Qualitative rating A-F where A=best,NRGI research,Are there rules that require the SOE or government to publicly disclose information on the sale of production by the SOE?,SOE sales disclosure rule," Yes, the law requires the SOE or government to publicly disclose information on the sale of production by the SOE.","Yes, a publicly documented policy requires the SOE or government to publicly disclose information on the sale of production by the SOE.","No, the SOE or government is not required to publicly disclose information on the sale of production by the SOE.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,4,32
INDICATOR,,33,Commodity sale disclosures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,110,,Qualitative rating A-F where A=best,NRGI research,Does the SOE or government publicly disclose the volume of production sold by the SOE?,SOE sold production volume disclosure,"Yes, the SOE or government publicly discloses the volume of production sold by the SOE, for each sale. ","Yes, the SOE or government publicly discloses the volume of production sold by the SOE, in the aggregate. ","No, the SOE or government does not publicly disclose this information.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,4,33
QUESTION,Practice,111,,Qualitative rating A-F where A=best,NRGI research,Does the SOE or government publicly disclose the value of the production sold by the SOE?,SOE sold production value disclosure,"Yes, the SOE or government publicly discloses the value of production sold by the SOE, for each sale. ","Yes, the SOE or government publicly discloses the value of production sold by the SOE, in the aggregate. ","No, the SOE or government does not publicly disclose this information.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,4,33
QUESTION,Practice,112,,Qualitative rating A-F where A=best,NRGI research,Does the SOE or government publicly disclose the date of the production sales executed by the SOE?,SOE production sale date disclosure,"Yes, the SOE or government publicly discloses the date of the production sales executed by the SOE, for each sale.","Yes, the SOE or government publicly discloses the date of the production sales executed by the SOE, in the aggregate.","No, the SOE or government does not publicly disclose this information.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,4,33
QUESTION,Practice,113,,Qualitative rating A-F where A=best,NRGI research,Does the SOE or government publicly disclose the names of the companies that bought the production sold by the SOE?,SOE production buyers disclosure,"Yes, the SOE or government publicly discloses the names of the companies that bought the production sold by the SOE, for each sale.","Yes, the SOE or government publicly discloses the names of the companies that bought the production sold by the SOE, in the aggregate.","No, the SOE or government does not publicly disclose this information.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,4,33
INDICATOR,,34,SOE joint ventures and subsidiaries disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,91,,Qualitative rating A-F where A=best,NRGI research,Does the SOE publicly disclose its participation in joint ventures?,SOE joint ventures disclosure,"Yes, the SOE publicly discloses its participation in joint ventures covering a fiscal year ending in 2015 or 2016.","Yes, the SOE publicly discloses its participation in joint ventures covering a fiscal year ending in 2012, 2013 or 2014.","Yes, the SOE publicly discloses its participation in joint ventures covering a fiscal year ending in 2011 or earlier.","No, the SOE does not publicly disclose it participation in joint ventures.",Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,1,4,34
QUESTION,Practice,92,,Qualitative rating A-F where A=best,NRGI research,Does the SOE publicly disclose its levels of ownership in joint ventures?,SOE joint venture participatory interest disclosure,"Yes, the SOE publicly discloses its levels of ownership in joint ventures, covering a fiscal year ending in 2015 or 2016.","Yes, the SOE publicly discloses its levels of ownership in joint ventures, covering a fiscal year ending in 2012, 2013 or 2014.","Yes, the SOE publicly discloses its levels of ownership in joint ventures, covering a fiscal year ending in 2011 or earlier.","No, the SOE does not publicly disclose its levels of ownership in joint ventures.",Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,1,4,34
QUESTION,Practice,93,,Qualitative rating A-F where A=best,NRGI research,Does the SOE publicly disclose the costs and revenues deriving from its participation in joint ventures?,SOE joint venture cost and revenue disclosure,"Yes, the SOE publicly discloses the costs and revenues deriving from its participation in joint ventures, covering a fiscal year ending in 2015 or 2016.","Yes, the SOE publicly discloses the costs and revenues deriving from its participation in joint ventures, covering a fiscal year ending in 2012, 2013 or 2014.","Yes, the SOE publicly discloses the costs and revenues deriving from its participation in joint ventures, covering a fiscal year ending in 2011 or earlier.","No, the SOE does not publicly disclose the costs and revenues deriving from its participation in joint ventures.",Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,1,4,34
QUESTION,Practice,94,,Qualitative rating A-F where A=best,NRGI research,Does the SOE publicly disclose a list of its subsidiaries?,SOE subsidiaries disclosure,"Yes, the SOE publicly discloses a list of its subsidiaries, covering a fiscal year ending in 2015 or 2016.","Yes, the SOE publicly discloses a list of its subsidiaries, covering a fiscal year ending in 2012, 2013 or 2014.","Yes, the SOE publicly discloses a list of its subsidiaries, covering a fiscal year ending in 2011 or earlier.","No, the SOE does not publicly disclose a list of its subsidiaries.",Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,1,4,34
QUESTION,Practice,95,,Qualitative rating A-F where A=best,NRGI research,Does the SOE publicly disclose the costs and revenues deriving from its subsidiaries?,SOE subsidiaries cost and revenue disclosure,"Yes, the SOE publicly discloses the costs and revenues deriving from its subsidiaries, covering a fiscal year ending in 2015 or 2016.","Yes, the SOE publicly discloses the costs and revenues deriving from its subsidiaries, covering a fiscal year ending in 2012, 2013 or 2014.","Yes, the SOE publicly discloses the costs and revenues deriving from its subsidiaries, covering a fiscal year ending in 2011 or earlier.","No, the SOE does not publicly disclose the costs and revenues deriving from its subsidiaries.",Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,1,4,34
INDICATOR,,35,SOE corporate governance practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,115,,Qualitative rating A-F where A=best,NRGI research,Does the SOE have a publicly available code of conduct?,SOE code of conduct,"Yes, the SOE has a publicly available code of conduct.","No, the SOE does not have a publicly available code of conduct.",Not applicable/Other.,,,,,High=good,multiple choice,100,0,.,.,.,.,.,,,,,,,1,4,35
QUESTION,Practice,114,,Qualitative rating A-F where A=best,NRGI research,Is the majority of the SOE's board of directors independent of the government (i.e. at least half of all board members do not hold positions in the current central government)?,SOE board of directors independence,"Yes, the majority of the SOE's board of directors is independent of the government.","No, the majority of the SOE's board of directors is not independent of the government.",The SOE does not publicly disclose a list of board members.,Not applicable/Other.,,,,High=good,multiple choice,100,20,0,.,.,.,.,,,,,,,1,4,35
COMPONENT,,2,Revenue management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-COMPONENT,,5,National budgeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDICATOR,,36,Online data portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,11,,Qualitative rating A-F where A=best,NRGI research,"Does the government have an online data portal containing publicly available data on reserves, production and exports?",Online data portal coverage,"Yes, the government has a online data portal where the data listed is publicly available.",No such portal exists.,Not applicable/Other.,,,,,High=good,multiple choice,100,0,.,.,.,.,.,,,,,,,2,5,36
QUESTION,Practice,12,,Qualitative rating A-F where A=best,NRGI research,"Does the online data portal contain the most recent publicly available data on reserves, production and exports?",Online data portal timeliness,"Yes, the online data portal contains the most publicly available data on reserves, production and exports.","No, the online data portal does not contain the most recent publicly available data on reserves, production and exports.",No such portal exists.,Not applicable/Other.,,,,High=good,multiple choice,100,0,0,.,.,.,.,,,,,,,2,5,36
QUESTION,Practice,13,,Qualitative rating A-F where A=best,NRGI research,Is the data contained in the online data portal machine-readable?,Online data portal machine-readability,The data is available via an API that is accompanied by a landing page and associated documentation.,"The data is available in a non-proprietary machine-readable format (e.g. CSV, TSV or JSON).",The data is available in a proprietary machine-readable format (e.g. Access or XLS).,The data is available in a text-based format (e.g. PDF or Word).,No such portal exists.,Not applicable/Other.,,High=good,multiple choice,100,90,80,20,0,.,.,,,,,,,2,5,36
QUESTION,Practice,14,,Qualitative rating A-F where A=best,NRGI research,Is the data contained in the online data portal available under an open license?,Online data portal open license,"Yes, the data is available under an open license which imposes no restrictions on use, redistribution or modification, including for commercial purposes.","No, the data is available under a license which imposes restrictions in some of these areas.",The data has unknown licensing status.,No such portal exists.,Not applicable/Other.,,,High=good,multiple choice,100,50,0,0,.,.,.,,,,,,,2,5,36
INDICATOR,,37,Fiscal rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,117,,Qualitative rating A-F where A=best,NRGI research,Does the country have a numerical fiscal rule?,Fiscal rule existence,"Yes, the law includes a numerical fiscal rule for the government.","Yes, a publicly documented policy includes a numerical fiscal rule for the government.","No, there is no numerical fiscal rule.",Not applicable/Other.,,,,High=good,multiple choice,100,80,0,.,.,.,.,,,,,,,2,5,37
QUESTION,Law,119,,Qualitative rating A-F where A=best,NRGI research,Do rules require that an external body periodically monitor the government's adherence to the numerical fiscal rule?,Fiscal rule monitoring requirement,"Yes, the law requires that an external body periodically monitor the government's adherence to the fiscal rule.","Yes, a publicly documented policy requires that an external body periodically monitor the government's adherence to the fiscal rule.","No, there is no requirement for the government's adherence to the fiscal rule to be periodically monitored.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,2,5,37
INDICATOR,,38,Fiscal rule practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,118,,Qualitative rating A-F where A=best,NRGI research,"Over the most recently completed fiscal year, did the government adhere to the numerical fiscal rule?",Fiscal rule adherence,"Yes, the government adhered to the fiscal rule in the most recently completed fiscal year.","No, the government suspended, modified or disregarded the fiscal rule in the most recently completed fiscal year.",No numerical fiscal rule has been set.,Not applicable/Other.,,,,High=good,multiple choice,100,0,0,.,.,.,.,,,,,,,2,5,38
QUESTION,Practice,120,,Qualitative rating A-F where A=best,NRGI research,Was the government's adherence to the fiscal rule externally monitored over the most recently completed audit timeframe?,Fiscal rule monitoring timeframe,"Yes, the government's adherence to the fiscal rule was monitored over the most recently completed audit timeframe, with no known exceptions.","No, the government's adherence to the fiscal rule was not monitored over the recently completed audit timeframe.",There is no requirement for the government's adherence to the fiscal rule to be subject to a periodic external monitoring.,Not applicable/Other.,,,,High=good,multiple choice,100,0,0,.,.,.,.,,,,,,,2,5,38
INDICATOR,,39,National budget disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,121,,Qualitative rating A-F where A=best,NRGI research,Does the government publicly disclose projections of extractive resource revenues?,Revenue projections disclosure,"Yes, the most recent projections were disclosed in 2015 or 2016.","Yes, the most recent projections were disclosed in 2012, 2013 or 2014.","Yes, the most recent projections were disclosed in 2011 or earlier.","No, the government does not publicly disclose such projections.",Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,2,5,39
QUESTION,Practice,122,,Qualitative rating A-F where A=best,NRGI research,Has the government publicly disclosed a national budget that has been enacted for the current fiscal year?,Budget disclosure,"Yes, the government has publicly disclosed a national budget that has been enacted for the current fiscal year.","No, the government has not publicly disclosed a national budget that has been enacted for the current fiscal year.",Not applicable/Other.,,,,,High=good,multiple choice,100,0,.,.,.,.,.,,,,,,,2,5,39
QUESTION,Practice,125,,Qualitative rating A-F where A=best,NRGI research,"For the most recently completed fiscal year, did the government publicly disclose total government expenditures?",Government expenditure disclosure,"Yes, the government has publicly disclosed total government expenditures.","No, the government has not publicly disclosed total government expenditures.",Not applicable/Other.,,,,,High=good,multiple choice,100,0,.,.,.,.,.,,,,,,,2,5,39
QUESTION,Practice,124,,Qualitative rating A-F where A=best,NRGI research,"For the most recently completed fiscal year, did the government publicly disclose the total resource revenue received?",Resource revenue disclosure,"Yes, the government has publicly disclosed the total resource revenue received.","No, the government has not publicly disclosed the total resource revenue received.",Not applicable/Other.,,,,,High=good,multiple choice,100,0,.,.,.,.,.,,,,,,,2,5,39
INDICATOR,,40,National debt disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,126,,Qualitative rating A-F where A=best,NRGI research,Does the government publicly disclose the level of national debt?,Debt level disclosure,"Yes, the most recent publicly available information on the level of national debt covers a fiscal year ending in 2015 or 2016.","Yes, the most recent publicly available information on the level of national debt covers a fiscal year ending in 2012, 2013 or 2014.","Yes, the most recent publicly available information on the level of national debt covers a fiscal year ending in 2011 or earlier.","No, the government does not publicly disclose information on the level of national debt.",Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,2,5,40
QUESTION,Practice,127,,Qualitative rating A-F where A=best,NRGI research,Is the most recent publicly available information on the national debt disaggregated by currency denomination (i.e. foreign or domestic)?,Debt currency denomination,"Yes, the most recent publicly available information on the national debt is disaggregated by currency denomination.","No, the most recent publicly available information on the national debt is not disaggregated by currency denomination.","No, the government does not publicly disclose the level of national debt.",Not applicable/Other.,,,,High=good,multiple choice,100,0,0,.,.,.,.,,,,,,,2,5,40
